Negara,Tanggal,Total Kasus,Total Kematian,Stringency Index,Populasi,GDP per Capita,Human Development Index
Afghanistan,2020-10-19,40200.0,1492.0,25.0,38928341,1803.987,0.498
Albania,2020-10-19,17055.0,451.0,43.52,2877800,11803.431,0.785
Algeria,2020-10-19,54402.0,1856.0,75.93,43851043,13913.839,0.754
Angola,2020-10-19,7462.0,241.0,71.3,32866268,5819.495,0.581
Argentina,2020-10-19,989667.0,26267.0,87.96,45195777,18933.907,0.825
Australia,2020-10-19,27390.0,904.0,65.28,25499881,44648.71,0.939
Austria,2020-10-19,65557.0,910.0,44.91,9006400,45436.686,0.908
Azerbaijan,2020-10-19,44964.0,626.0,66.2,10139175,15847.419,0.757
Bahrain,2020-10-19,77902.0,300.0,63.89,1701583,43290.705,0.846
Bangladesh,2020-10-19,388569.0,5660.0,80.09,164689383,3523.984,0.608
Barbados,2020-10-19,222.0,7.0,25.93,287371,16978.068,0.8
Belarus,2020-10-19,87698.0,929.0,11.11,9449321,17167.967,0.808
Belgium,2020-10-17,222126.0,10409.0,43.52,11589616,42658.576,0.916
Belize,2020-10-19,2813.0,44.0,69.44,397621,7824.362,0.708
Benin,2020-10-16,2496.0,41.0,47.22,12123198,2064.236,0.515
Bhutan,2020-10-19,327.0,0.0,71.3,771612,8708.597,0.612
Bolivia,2020-10-19,139771.0,8481.0,81.48,11673029,6885.829,0.693
Bosnia and Herzegovina,2020-10-19,33561.0,980.0,40.74,3280815,11713.895,0.768
Botswana,2020-10-16,5242.0,20.0,63.89,2351625,15807.374,0.717
Brazil,2020-10-19,5235344.0,153905.0,72.69,212559409,14103.452,0.759
Brunei,2020-10-15,147.0,3.0,35.19,437483,71809.251,0.853
Bulgaria,2020-10-19,29503.0,986.0,35.19,6948445,18563.307,0.813
Burkina Faso,2020-10-19,2381.0,65.0,36.11,20903278,1703.102,0.423
Burundi,2020-10-19,542.0,1.0,11.11,11890781,702.225,0.417
Cambodia,2020-10-10,283.0,0.0,37.04,16718971,3645.07,0.582
Cameroon,2020-10-15,21441.0,423.0,36.11,26545864,3364.926,0.556
Canada,2020-10-19,198148.0,9760.0,60.65,37742157,44017.591,0.926
